=== MACD130 SEED/WINDOW V18 VALID TESTS ONLY ===
FOCUS_REFS=21 ALL_REFS=619

BAD=12 basis=PRE_WCL seed=FIRST window=500 f=8 signal=6 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:4908,2026-08-27:6517
BAD=12 basis=PRE_WCL seed=FIRST window=750 f=6 signal=8 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:4908,2026-08-27:6517
BAD=12 basis=PRE_WCL seed=FIRST window=750 f=7 signal=7 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:4908,2026-08-27:6517
BAD=12 basis=PRE_WCL seed=FIRST window=750 f=8 signal=6 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:4908,2026-08-27:6517
BAD=12 basis=PRE_WCL seed=FIRST window=1000 f=6 signal=8 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:4908,2026-08-27:6517
BAD=12 basis=PRE_WCL seed=FIRST window=1000 f=7 signal=7 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:4908,2026-08-27:6517
BAD=12 basis=PRE_WCL seed=FIRST window=1000 f=8 signal=6 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:4908,2026-08-27:6517
BAD=12 basis=PRE_WCL seed=FIRST window=1500 f=6 signal=8 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:4908,2026-08-27:6517
BAD=12 basis=PRE_WCL seed=FIRST window=1500 f=7 signal=7 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:4908,2026-08-27:6517
BAD=12 basis=PRE_WCL seed=FIRST window=1500 f=8 signal=6 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:4908,2026-08-27:6517
BAD=14 basis=PRE_WCL seed=SMA window=MAX f=6 signal=8 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:2402,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:3689,2026-08-27:4908,2026-08-27:6517
BAD=14 basis=PRE_WCL seed=SMA window=MAX f=7 signal=7 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:2402,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:3689,2026-08-27:4908,2026-08-27:6517
BAD=14 basis=PRE_WCL seed=SMA window=MAX f=8 signal=6 tested=616 mism=2026-08-25:8433,2026-08-25:8928,2026-08-26:1598,2026-08-26:1711,2026-08-26:2009,2026-08-26:2402,2026-08-26:8111,2026-08-27:1598,2026-08-27:1609,2026-08-27:2009,2026-08-27:2313,2026-08-27:3689,2026-08-27:4908,2026-08-27:6517
